series_id,stratum,series_dir,valid_seed_runs,median_MAE,median_RMSE,median_SMAPE,median_R2,MAE_complete,RMSE_complete,SMAPE_complete,R2_complete
Papua New Guinea,WHO,papua_new_guinea,3,22.24380830356053,26.928438867220624,123.65715079743748,-0.5162743879492409,TRUE,TRUE,TRUE,TRUE
Philippines,WHO,philippines,3,3148.5281799861364,5907.956640025825,77.33893251141757,0.6288344413875142,TRUE,TRUE,TRUE,TRUE
Singapore,WHO,singapore,3,105.55986894880024,146.01613367710158,22.91726423818988,0.5447970685616188,TRUE,TRUE,TRUE,TRUE
Sri Lanka,WHO,sri_lanka,3,382.62202889578685,578.8209259068497,42.667317276755824,-0.8302146393599348,TRUE,TRUE,TRUE,TRUE
Switzerland,WHO,switzerland,3,2259.2132393973216,3449.0386214011187,13.712905042306057,0.8150763568778687,TRUE,TRUE,TRUE,TRUE
Thailand,WHO,thailand,3,489.0250767299107,757.0973226395673,11.51609152221886,0.8362126102136885,TRUE,TRUE,TRUE,TRUE
Timor-Leste,WHO,timor_leste,3,1.3506794923118182,2.144925464065927,154.85215481846458,0.0455271465529579,TRUE,TRUE,TRUE,TRUE
United Kingdom of Great Britain and Northern Ireland,WHO,united_kingdom_of_great_britain_and_northern_ireland,3,24077.494140625,31575.81939476192,16.404062759460647,0.7244529877901129,TRUE,TRUE,TRUE,TRUE
Vanuatu,WHO,vanuatu,3,0.0298429174082619,0.072713849666625,107.14282417356034,nan,TRUE,TRUE,TRUE,FALSE
Viet Nam,WHO,viet_nam,3,5080.99919782366,6660.978305988487,25.205211027471517,-1.544107358975361,TRUE,TRUE,TRUE,TRUE
T7,Electricity,t7,3,26.99578203473772,33.05572938865722,7.008767060861949,0.4730658771185626,TRUE,TRUE,TRUE,TRUE
T314,Electricity,t314,3,194382.26785714287,256526.71480248825,4.4999675966952495,0.7475138433130117,TRUE,TRUE,TRUE,TRUE
T118,Electricity,t118,3,142.0914306640625,173.78902430517866,1.950802274559534,0.4925297554001112,TRUE,TRUE,TRUE,TRUE
T108,Electricity,t108,3,322.54420035226,486.6693732784784,20.231954019861924,0.6826247147413518,TRUE,TRUE,TRUE,TRUE
T84,Electricity,t84,3,962.4016462053572,1221.427388320267,53.4156724230043,0.6348979707685569,TRUE,TRUE,TRUE,TRUE
T106,Electricity,t106,3,1009.3159572056362,1908.2001956207705,25.291150831250047,0.5544898014888973,TRUE,TRUE,TRUE,TRUE
T318,Electricity,t318,3,117.75054931640624,137.10822734923514,8.172811797522685,0.7438448426255166,TRUE,TRUE,TRUE,TRUE
T82,Electricity,t82,3,2244.788853236608,3062.7213414809844,17.008832247115773,0.6353710392426759,TRUE,TRUE,TRUE,TRUE
T128,Electricity,t128,3,788.8255092075893,904.7679903688496,9.890343281336673,0.7659061834567488,TRUE,TRUE,TRUE,TRUE
T129,Electricity,t129,3,14754.354910714286,26606.49131594088,7.148539055042794,0.1853617759133927,TRUE,TRUE,TRUE,TRUE
T104,Electricity,t104,3,3423.743024553572,4879.336396979932,13.82942971788538,0.6836808826427401,TRUE,TRUE,TRUE,TRUE
T85,Electricity,t85,3,568.8432006835938,672.0934279435063,24.764770850572614,0.3001515787014086,TRUE,TRUE,TRUE,TRUE
T86,Electricity,t86,3,200.1493432181222,313.4216911957341,17.129959061239468,0.8082951388590516,TRUE,TRUE,TRUE,TRUE
T135,Electricity,t135,3,477.285400390625,651.1275253561565,5.306236794678801,0.9461040673717376,TRUE,TRUE,TRUE,TRUE
T144,Electricity,t144,3,631.9915248325893,792.3098053995398,4.287553884081195,0.0248112085864404,TRUE,TRUE,TRUE,TRUE
T20,Electricity,t20,3,198.74048723493303,229.72731513302875,7.591965019635574,0.5995822561969677,TRUE,TRUE,TRUE,TRUE
T234,Electricity,t234,3,5737.305803571428,7636.165780893939,3.2645922795776503,0.6954990002139558,TRUE,TRUE,TRUE,TRUE
T115,Electricity,t115,3,40.57486833844866,64.22994881513702,5.274455811821434,-1.1115857018232165,TRUE,TRUE,TRUE,TRUE
T3,Electricity,t3,3,4.372221265520368,5.860967488355337,2.2563951809542164,-0.0424283677667383,TRUE,TRUE,TRUE,TRUE
T30,Electricity,t30,3,705.4111415318081,967.3819101987232,19.236733459338332,0.7024702467359349,TRUE,TRUE,TRUE,TRUE
T208,Electricity,t208,3,158.54091099330358,214.02044491649903,2.3460419580866354,0.1227816875455486,TRUE,TRUE,TRUE,TRUE
T316,Electricity,t316,3,20751.94419642857,31384.66506947221,5.275762585876227,-0.3408155498704872,TRUE,TRUE,TRUE,TRUE
T249,Electricity,t249,3,638.3535853794643,793.2509698548859,2.673745462488049,0.5157063742471459,TRUE,TRUE,TRUE,TRUE
T133,Electricity,t133,3,1424.133928571429,1829.2077291636133,5.683639929821103,0.9555490296692446,TRUE,TRUE,TRUE,TRUE
T224,Electricity,t224,3,772.9635184151786,917.8897893928344,2.933429919291244,-0.311547407838642,TRUE,TRUE,TRUE,TRUE
T11,Electricity,t11,3,127.80562918526786,156.34498223251072,3.593646375040179,0.4550178350067299,TRUE,TRUE,TRUE,TRUE
T125,Electricity,t125,3,612.9330008370536,705.4808197414446,3.7589593411511406,0.965451996062532,TRUE,TRUE,TRUE,TRUE
T26,Electricity,t26,3,265.6470685686384,376.4399011107354,4.4598717615171815,0.9672306696529644,TRUE,TRUE,TRUE,TRUE
T2,Electricity,t2,3,45.916451590401785,60.09297249588377,1.6613305986817313,0.0911095921680503,TRUE,TRUE,TRUE,TRUE
T95,Electricity,t95,3,2087.498465401786,2824.1938725306472,3.776902280118068,0.6624842281634193,TRUE,TRUE,TRUE,TRUE
T100,Electricity,t100,3,554.1387939453125,698.9962790503095,9.439908899214586,0.4938112148635932,TRUE,TRUE,TRUE,TRUE
T107,Electricity,t107,3,688.1268790108817,921.1304813848373,18.41366075117772,0.8630900288473328,TRUE,TRUE,TRUE,TRUE
T1,Electricity,t1,3,320.7735355922154,450.1558381142103,42.19918303363322,0.4574562062454853,TRUE,TRUE,TRUE,TRUE
T60,Electricity,t60,3,520.7477329799107,613.1645181308355,4.240527616061205,0.5766550048361538,TRUE,TRUE,TRUE,TRUE
T321,Electricity,t321,3,2872.247628348214,3733.543760190906,3.754023537592492,0.5297969548272412,TRUE,TRUE,TRUE,TRUE
T237,Electricity,t237,3,37402.30580357143,50347.88414232475,3.337456371543694,0.0302169450347536,TRUE,TRUE,TRUE,TRUE
T134,Electricity,t134,3,7576.587053571428,8974.86787448232,3.412932865864565,0.8034431743964005,TRUE,TRUE,TRUE,TRUE
Kaohsiung City,Dengue,kaohsiung_city,3,5.654297147478376,7.138885199165423,18.464061174285867,0.4559432652600665,TRUE,TRUE,TRUE,TRUE
New Taipei City,Dengue,new_taipei_city,3,1.1840058671576636,1.3572145004689349,86.77919397813987,-0.2757530574399132,TRUE,TRUE,TRUE,TRUE
Pingtung County,Dengue,pingtung_county,3,1.8606336797986711,2.293412868088569,34.0563210631125,-0.2060948187994038,TRUE,TRUE,TRUE,TRUE
Taichung City,Dengue,taichung_city,3,0.971304759915386,1.3062781608679694,147.12246121225172,-1.3761781611216946,TRUE,TRUE,TRUE,TRUE
Tainan City,Dengue,tainan_city,3,42.36388070242746,59.068020881978704,23.02745146822534,-0.4000791173455296,TRUE,TRUE,TRUE,TRUE
Taipei City,Dengue,taipei_city,3,0.807509112570967,0.9761856964264226,113.52153293745803,-0.7496575993056467,TRUE,TRUE,TRUE,TRUE
Yunlin County,Dengue,yunlin_county,3,2.5887029596737454,3.1410688010061354,56.68248020585559,-0.2065496114055263,TRUE,TRUE,TRUE,TRUE
