receiver_architecture,country,sender_seed,receiver_seed,receiver_stratum,rho_FUNCTIONAL,rho_THETA_RKA,delta_rho
GRU,Brunei Darussalam,2025,123,CROSS_ARCH_CROSS_SEED,1.0194794470039203,2.4363822695841892,-1.416902822580269
GRU,Brunei Darussalam,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.16609968208941384,0.9476977254137319,-0.781598043324318
GRU,Cambodia,42,42,CROSS_ARCH_SAME_SEED_ID,0.34515397851542357,0.5967822735194608,-0.2516282950040372
GRU,Cambodia,42,123,CROSS_ARCH_CROSS_SEED,0.45136200394145837,1.212117416777541,-0.7607554128360827
GRU,Cambodia,42,2025,CROSS_ARCH_CROSS_SEED,2.842956560712232,2.649276049126615,0.1936805115856166
GRU,Cambodia,123,42,CROSS_ARCH_CROSS_SEED,1.369923432340779,0.3639337112839803,1.0059897210567987
GRU,Cambodia,123,123,CROSS_ARCH_SAME_SEED_ID,0.6769409348125474,0.11977342450039848,0.5571675103121488
GRU,Cambodia,123,2025,CROSS_ARCH_CROSS_SEED,1.9354024243650305,3.9513714243242353,-2.0159689999592048
GRU,Cambodia,2025,42,CROSS_ARCH_CROSS_SEED,0.21993354347124772,0.2937816599283241,-0.0738481164570764
GRU,Cambodia,2025,123,CROSS_ARCH_CROSS_SEED,0.9724857530619663,1.0478222275575295,-0.07533647449556324
GRU,Cambodia,2025,2025,CROSS_ARCH_SAME_SEED_ID,2.9528370413380447,6.877310766579282,-3.9244737252412376
GRU,China,42,42,CROSS_ARCH_SAME_SEED_ID,0.41735086077321143,0.311043902940795,0.10630695783241645
GRU,China,42,123,CROSS_ARCH_CROSS_SEED,0.6359054164442897,0.649138928176392,-0.013233511732102299
GRU,China,42,2025,CROSS_ARCH_CROSS_SEED,1.3649831500426155,1.3056588754884917,0.05932427455412381
GRU,China,123,42,CROSS_ARCH_CROSS_SEED,0.8173473082167827,0.9462445659725495,-0.12889725775576677
GRU,China,123,123,CROSS_ARCH_SAME_SEED_ID,0.2799053014459314,0.30582662311428094,-0.02592132166834954
GRU,China,123,2025,CROSS_ARCH_CROSS_SEED,1.3490377962651907,1.7563717005366797,-0.40733390427148897
GRU,China,2025,42,CROSS_ARCH_CROSS_SEED,0.581504193032603,0.8596373743791171,-0.2781331813465141
GRU,China,2025,123,CROSS_ARCH_CROSS_SEED,1.0234791196918909,0.9888742330830822,0.03460488660880867
GRU,China,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.8364139986571917,0.20959754662709013,0.6268164520301016
GRU,Fiji,42,42,CROSS_ARCH_SAME_SEED_ID,0.5050480459628377,0.4466858669044926,0.05836217905834512
GRU,Fiji,42,123,CROSS_ARCH_CROSS_SEED,0.29838011056185626,0.3379616285500689,-0.03958151798821263
GRU,Fiji,42,2025,CROSS_ARCH_CROSS_SEED,0.7297038033065202,0.7426387694909519,-0.012934966184431684
GRU,Fiji,123,42,CROSS_ARCH_CROSS_SEED,1.475958646835313,0.5176010943789287,0.9583575524563843
GRU,Fiji,123,123,CROSS_ARCH_SAME_SEED_ID,1.5852611563097274,0.5592839605921226,1.025977195717605
GRU,Fiji,123,2025,CROSS_ARCH_CROSS_SEED,1.126964655556359,1.4279310998183479,-0.3009664442619888
GRU,Fiji,2025,42,CROSS_ARCH_CROSS_SEED,1.6534173034336215,1.1542107031482727,0.4992066002853488
GRU,Fiji,2025,123,CROSS_ARCH_CROSS_SEED,1.1446362455540695,1.2054382216292758,-0.06080197607520632
GRU,Fiji,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.1971773564135045,0.11071146208196042,0.08646589433154409
GRU,French Polynesia,42,42,CROSS_ARCH_SAME_SEED_ID,0.47518827362458893,1.0030970647495663,-0.5279087911249774
GRU,French Polynesia,42,123,CROSS_ARCH_CROSS_SEED,1.618241266763647,1.6830858976233813,-0.06484463085973435
GRU,French Polynesia,42,2025,CROSS_ARCH_CROSS_SEED,0.953346745996846,0.49537481734725164,0.45797192864959435
GRU,French Polynesia,123,42,CROSS_ARCH_CROSS_SEED,2.2164774025412983,6.2283537401945726,-4.011876337653274
GRU,French Polynesia,123,123,CROSS_ARCH_SAME_SEED_ID,1.008044470289424,0.9719505281957533,0.03609394209367067
GRU,French Polynesia,123,2025,CROSS_ARCH_CROSS_SEED,1.1699092388603876,1.3904502903665956,-0.22054105150620806
GRU,French Polynesia,2025,42,CROSS_ARCH_CROSS_SEED,1.0534191705126519,1.4421240001774842,-0.38870482966483233
GRU,French Polynesia,2025,123,CROSS_ARCH_CROSS_SEED,0.9336002629629718,0.4964290823718816,0.4371711805910902
GRU,French Polynesia,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.5048565256641384,0.5335074511931185,-0.028650925528980076
GRU,Guam,42,42,CROSS_ARCH_SAME_SEED_ID,0.733981631155189,0.828386282467574,-0.09440465131238496
GRU,Guam,42,123,CROSS_ARCH_CROSS_SEED,0.39945935158367113,0.4865979858913404,-0.08713863430766927
GRU,Guam,42,2025,CROSS_ARCH_CROSS_SEED,0.6497011029948678,0.7083679711513784,-0.058666868156510565
GRU,Guam,123,42,CROSS_ARCH_CROSS_SEED,1.512108595061265,1.759567269755119,-0.24745867469385407
GRU,Guam,123,123,CROSS_ARCH_SAME_SEED_ID,0.676469327377501,0.8315074183201608,-0.15503809094265986
GRU,Guam,123,2025,CROSS_ARCH_CROSS_SEED,2.689849880704762,1.3006495995119307,1.3892002811928315
GRU,Guam,2025,42,CROSS_ARCH_CROSS_SEED,0.9841282779841886,1.2091226324854336,-0.22499435450124505
GRU,Guam,2025,123,CROSS_ARCH_CROSS_SEED,0.7379812784327087,0.5145738927580463,0.22340738567466234
GRU,Guam,2025,2025,CROSS_ARCH_SAME_SEED_ID,1.9282029323901477,1.195721098881537,0.7324818335086107
