receiver_architecture,country,receiver_stratum,country_median_delta_rho,n_paired_contexts,country_direction
TRANSFORMER,Bhutan,CROSS_ARCH_CROSS_SEED,-0.04110092679972388,6,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Brunei Darussalam,CROSS_ARCH_SAME_SEED_ID,0.21456592774461722,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Brunei Darussalam,CROSS_ARCH_CROSS_SEED,-0.20589856407064341,6,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Cambodia,CROSS_ARCH_SAME_SEED_ID,0.06661719620397322,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Cambodia,CROSS_ARCH_CROSS_SEED,-0.05914665383008247,6,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,China,CROSS_ARCH_SAME_SEED_ID,-0.012562521712701225,3,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,China,CROSS_ARCH_CROSS_SEED,0.03010683303575351,6,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Fiji,CROSS_ARCH_SAME_SEED_ID,0.1096271878071371,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Fiji,CROSS_ARCH_CROSS_SEED,-0.018802106983434597,6,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,French Polynesia,CROSS_ARCH_SAME_SEED_ID,-0.3827723960401137,3,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,French Polynesia,CROSS_ARCH_CROSS_SEED,0.02835271489330604,6,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Guam,CROSS_ARCH_SAME_SEED_ID,-0.0002712222715002266,3,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Guam,CROSS_ARCH_CROSS_SEED,-0.26172916707024774,6,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Lao People's Democratic Republic,CROSS_ARCH_SAME_SEED_ID,-0.008494661498252398,3,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Lao People's Democratic Republic,CROSS_ARCH_CROSS_SEED,-0.004761877165609885,6,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Malaysia,CROSS_ARCH_SAME_SEED_ID,0.0011240494601503226,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Malaysia,CROSS_ARCH_CROSS_SEED,-0.053347399388677275,6,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Maldives,CROSS_ARCH_SAME_SEED_ID,0.035154853640599226,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Maldives,CROSS_ARCH_CROSS_SEED,0.009252011966753237,6,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Mexico,CROSS_ARCH_SAME_SEED_ID,0.14192033128827475,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Mexico,CROSS_ARCH_CROSS_SEED,-0.06886066878005559,6,FUNCTIONAL_DIRECTIONALLY_BETTER
TRANSFORMER,Mongolia,CROSS_ARCH_SAME_SEED_ID,0.2505675214998446,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Mongolia,CROSS_ARCH_CROSS_SEED,0.07800457634746527,6,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Myanmar,CROSS_ARCH_SAME_SEED_ID,0.12091658389852622,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Myanmar,CROSS_ARCH_CROSS_SEED,0.029418776805322677,6,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Nepal,CROSS_ARCH_SAME_SEED_ID,0.40403643951190715,3,THETA_RKA_DIRECTIONALLY_BETTER
TRANSFORMER,Nepal,CROSS_ARCH_CROSS_SEED,0.11793265983932863,6,THETA_RKA_DIRECTIONALLY_BETTER
