receiver_architecture,country,sender_seed,receiver_seed,receiver_stratum,sender_source,P_align_sender_to_receiver,swap_mean_abs_deviation,receiver_neutral_mean_abs_deviation,swap_to_neutral_ratio,receiver_native_equivalence_error,checkpoint_hash_verified
GRU,Bangladesh,42,2025,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,2-4-0-3-1,62.787391662597656,48.737396240234375,1.28827956571805,0.0,TRUE
GRU,Bangladesh,123,2025,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,2-3-1-4-0,53.78687286376953,48.737396240234375,1.1036057937655406,0.0,TRUE
GRU,Bangladesh,2025,2025,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,10.869925498962402,48.737396240234375,0.22303049275309686,0.0,TRUE
GRU,Bhutan,42,42,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,0.068122498691082,0.12623469531536102,0.539649567188304,0.0,TRUE
GRU,Bhutan,123,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,3-0-4-1-2,0.1024446114897728,0.12623469531536102,0.8115408464673238,0.0,TRUE
GRU,Bhutan,2025,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,1-0-4-3-2,0.1360553801059723,0.12623469531536102,1.0777970332647226,0.0,TRUE
GRU,Bhutan,42,42,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,0.07293672859668732,0.12623469531536102,0.5777867044751517,0.0,TRUE
GRU,Bhutan,123,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,3-0-4-1-2,0.23819802701473236,0.12623469531536102,1.886945791089076,0.0,TRUE
GRU,Bhutan,2025,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,1-0-4-3-2,0.15897320210933685,0.12623469531536102,1.2593463446177622,0.0,TRUE
GRU,Bhutan,42,123,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,4-3-2-0-1,0.1346750557422638,0.18604132533073425,0.7238986042635728,0.0,TRUE
GRU,Bhutan,123,123,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,0.19740043580532074,0.18604132533073425,1.061056920844833,0.0,TRUE
GRU,Bhutan,2025,123,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,0-1-3-2-4,0.1019735336303711,0.18604132533073425,0.5481230229309968,0.0,TRUE
GRU,Bhutan,42,123,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,4-3-2-0-1,0.14218547940254211,0.18604132533073425,0.7642682567960233,0.0,TRUE
GRU,Bhutan,123,123,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,0.1919325888156891,0.18604132533073425,1.0316664239758648,0.0,TRUE
GRU,Bhutan,2025,123,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,0-1-2-3-4,0.26397112011909485,0.18604132533073425,1.4188843239523325,0.0,TRUE
GRU,Bhutan,42,2025,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,1-0-4-2-3,0.05690830945968628,0.02494646981358528,2.2812169371032733,0.0,TRUE
GRU,Bhutan,123,2025,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,0-1-2-3-4,0.1395224928855896,0.02494646981358528,5.592875221551741,0.0,TRUE
GRU,Bhutan,2025,2025,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,0.0026233026292175055,0.02494646981358528,0.10515726869654778,0.0,TRUE
GRU,Bhutan,42,2025,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,1-0-4-2-3,0.06449433416128159,0.02494646981358528,2.5853090494655655,0.0,TRUE
GRU,Bhutan,123,2025,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,0-3-2-4-1,0.025433039292693138,0.02494646981358528,1.0195045424360156,0.0,TRUE
GRU,Bhutan,2025,2025,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,0.014540319330990314,0.02494646981358528,0.5828607991288606,0.0,TRUE
GRU,Brunei Darussalam,42,42,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,0.9677447080612183,1.0613408088684082,0.9118133402342447,0.0,TRUE
GRU,Brunei Darussalam,123,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,2-3-4-1-0,1.2782624959945679,1.0613408088684082,1.2043845721502404,0.0,TRUE
GRU,Brunei Darussalam,2025,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,1-0-4-3-2,0.9541855454444885,1.0613408088684082,0.8990378373011326,0.0,TRUE
GRU,Brunei Darussalam,42,42,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,1.197440266609192,1.0613408088684082,1.1282335104836794,0.0,TRUE
GRU,Brunei Darussalam,123,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,2-3-4-1-0,0.8918994665145874,1.0613408088684082,0.8403516185018104,0.0,TRUE
GRU,Brunei Darussalam,2025,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,1-3-4-2-0,0.7322831749916077,1.0613408088684082,0.6899604433116646,0.0,TRUE
GRU,Brunei Darussalam,42,123,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,4-0-1-3-2,2.1696646213531494,0.8942786455154419,2.426161725132779,0.0,TRUE
GRU,Brunei Darussalam,123,123,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,0.6296586394309998,0.8942786455154419,0.7040966957989686,0.0,TRUE
GRU,Brunei Darussalam,2025,123,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,2-3-0-1-4,0.9116986989974976,0.8942786455154419,1.0194794470039203,0.0,TRUE
GRU,Brunei Darussalam,42,123,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,4-3-0-1-2,2.96803879737854,0.8942786455154419,3.3189194578920422,0.0,TRUE
GRU,Brunei Darussalam,123,123,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,3.0356605052948,0.8942786455154419,3.394535383929596,0.0,TRUE
GRU,Brunei Darussalam,2025,123,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,0-3-2-1-4,2.178804636001587,0.8942786455154419,2.4363822695841892,0.0,TRUE
GRU,Brunei Darussalam,42,2025,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,1-4-2-0-3,1.5608335733413696,1.1506181955337524,1.3565173742253616,0.0,TRUE
GRU,Brunei Darussalam,123,2025,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,0-2-4-3-1,0.7200441360473633,1.1506181955337524,0.6257889357584397,0.0,TRUE
GRU,Brunei Darussalam,2025,2025,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,2-1-4-3-0,0.1911173164844513,1.1506181955337524,0.16609968208941384,0.0,TRUE
